3	-1.047	0.537	1.186	0.719	0.996	-0.757	-1.422	1.501	-0.323	-0.251	1.328	0.556	0.456	2.165	-0.644	0.928	0.057	0.269	1.528	0.508	0.538	1.073	-0.365	-0.839	-1.045	-1.966	2.056	-1.103
1	-0.151	-0.221	-0.090	-0.762	-0.231	-0.298	0.602	1.190	0.744	-0.428	-1.867	-0.229	0.640	0.972	-0.236	-0.580	-1.206	0.815	-1.529	0.890	-0.581	-1.168	1.394	-1.243	-1.437	1.976	0.595	0.405
2	-0.568	-0.449	1.564	0.636	1.070	-0.235	0.452	-0.077	0.614	-0.113	1.778	-0.236	0.426	-1.801	1.191	-1.174	-0.646	-1.238	-1.425	0.972	-0.790	-1.459	-1.520	1.108	-0.363	-0.050	0.922	0.591
4	-0.361	-1.308	1.115	1.569	0.286	0.303	-1.587	0.800	0.931	2.740	0.274	-1.031	-1.494	-0.239	-1.150	-0.919	-1.307	-0.292	-0.158	2.593	0.315	1.228	-0.039	-0.520	-0.092	-0.283	1.446	0.448
1	0.387	-1.660	0.684	-0.752	-0.418	0.227	-0.694	-1.487	-0.314	-1.304	-1.520	0.647	0.030	0.268	0.564	0.313	-0.684	-0.197	-0.768	0.333	-1.308	-0.872	0.052	-0.260	-1.063	-2.902	-0.400	-0.063
2	-0.602	0.140	-0.091	1.836	0.463	-1.306	-0.919	-0.437	-0.700	1.419	-0.558	-0.037	0.601	2.791	-0.146	1.661	-0.431	0.976	-0.837	0.801	-0.372	0.912	0.806	0.626	0.428	-0.477	0.725	-1.602
4	1.481	0.605	-1.118	-1.205	-0.151	-0.281	2.107	-0.114	1.748	0.379	0.829	-2.947	2.369	-0.755	1.112	-1.579	1.661	-1.564	-0.985	-0.459	-0.389	-0.334	0.377	-1.075	0.327	1.717	-1.068	-0.107
1	-0.049	-1.430	-0.503	0.431	2.028	0.302	0.305	-0.507	0.457	0.804	-0.409	-0.613	0.143	-0.115	0.312	2.146	1.583	0.103	-1.465	-0.460	0.932	0.332	-2.201	-0.447	0.852	-0.345	-0.588	0.042
4	-2.193	0.020	-0.238	1.858	0.490	-0.305	-0.197	-0.208	2.217	0.675	-1.407	-0.244	-0.024	-1.108	-1.783	0.596	-0.805	1.249	0.008	-0.474	-2.417	1.222	0.294	-0.448	-0.890	1.599	-1.064	-0.369
1	-0.214	-0.979	-1.833	0.574	0.650	0.343	-0.215	-0.319	0.778	-0.101	1.125	-0.099	-0.135	0.371	1.392	1.177	-0.048	-0.374	-1.208	0.692	-1.784	1.705	0.843	-0.746	1.231	0.548	0.468	-0.267
4	2.437	0.225	-1.097	-2.233	0.917	-0.688	0.267	-1.385	1.920	-1.574	-2.109	0.782	-1.726	0.803	0.123	-2.135	1.297	-0.308	-0.525	0.243	-0.025	-0.475	-1.121	-0.374	-1.085	-0.528	0.651	-1.187
0	0.417	0.836	-0.280	-0.088	-1.083	0.556	0.591	-0.656	-0.272	-0.206	-1.050	0.643	1.227	-0.934	1.340	0.729	1.471	-1.422	-1.523	0.580	0.387	-0.196	0.214	1.175	-0.151	-0.317	-0.301	-1.289
0	0.254	1.685	-0.312	-0.190	0.283	-1.184	0.688	0.071	0.090	0.543	0.376	0.411	-0.390	1.569	-1.462	-0.686	-0.553	-0.721	-1.747	1.644	0.643	-0.631	0.697	-0.161	-0.291	-0.960	0.017	-0.632
0	0.753	-1.115	1.510	0.450	0.655	0.446	-1.507	-1.198	-0.510	0.644	-1.380	-0.175	-0.177	0.793	0.675	-1.010	1.447	-1.163	1.092	-0.550	0.164	0.226	0.198	0.674	0.391	0.784	0.465	-1.264
1	-1.739	-0.166	0.378	0.090	0.481	-0.969	0.241	0.294	-0.022	-1.419	-0.231	1.686	1.732	-0.796	-0.078	1.085	0.245	-0.297	0.427	-0.507	-0.352	1.606	-0.224	1.410	1.044	0.563	-2.057	-0.330
0	0.593	-0.734	-1.328	-0.434	-0.640	0.732	-0.547	0.023	-0.916	-0.531	-1.010	-0.374	0.521	0.327	1.317	-1.339	-0.135	-0.565	0.087	0.115	-0.911	0.284	-0.144	1.345	-1.442	-0.585	1.303	0.201
3	-1.905	-1.074	-0.092	0.514	0.182	0.560	-1.079	-1.589	0.085	-1.229	-0.865	0.932	0.189	-0.568	-0.698	0.621	0.212	-1.215	-1.948	1.882	-1.222	0.528	1.511	0.148	-0.600	-1.426	-1.440	0.377
4	-0.103	-0.490	0.042	2.637	1.154	1.163	0.436	0.166	-2.396	-0.679	-0.481	-1.875	-1.157	-1.981	-0.038	0.819	1.107	0.415	-0.963	-1.932	-1.757	-1.269	-0.889	-0.160	-1.014	0.339	-0.232	0.011
0	0.746	0.586	0.224	1.729	0.248	0.067	-0.509	-0.263	-0.863	1.197	0.479	-0.170	-0.208	1.272	0.699	-0.778	-1.452	-0.227	0.265	-1.714	-1.747	-0.403	0.758	0.216	0.099	-0.334	0.929	0.705
4	-0.089	-0.276	2.882	-1.629	-0.977	-2.146	0.516	1.780	1.075	-1.754	0.169	1.032	-0.320	-1.196	0.914	0.331	1.397	0.802	3.286	0.983	-0.254	-1.427	-0.677	-0.057	0.394	1.085	-1.722	1.524
2	1.448	-0.541	0.847	-1.935	-0.758	-1.373	1.635	1.650	-0.686	-0.057	-0.791	0.488	-0.584	-1.115	-0.807	0.158	-1.145	0.753	-2.377	-0.266	0.202	-0.330	0.387	1.217	0.226	-0.436	0.153	0.392
4	-1.965	0.188	0.799	-0.490	-1.208	1.057	-0.870	0.951	-0.041	1.619	0.404	-1.218	1.736	0.751	-0.948	0.742	1.215	0.195	-1.226	-0.232	-0.130	-0.678	-1.759	-1.224	0.564	-0.594	-1.281	2.319
4	-0.299	2.875	1.267	-0.698	1.783	0.633	-1.419	0.493	-0.255	0.039	-1.611	-0.588	0.320	0.236	-1.454	0.480	2.028	0.579	-0.618	1.345	-1.771	-0.953	-0.558	1.351	0.153	-1.218	-0.705	0.567
2	-0.582	-0.918	0.494	-1.531	-1.419	1.507	0.199	0.154	-0.470	-0.133	1.140	-0.630	-0.799	1.273	-0.886	-0.608	0.990	0.606	0.612	-0.594	-0.751	-0.053	-0.075	-1.134	0.274	-2.292	0.125	-1.843
2	-0.054	-0.763	0.310	-0.214	-0.848	0.102	0.066	-0.143	1.092	0.376	2.631	-0.444	0.068	-1.159	-0.499	-1.896	0.481	0.942	-0.279	-1.661	2.141	-0.441	-0.482	0.764	-0.980	-0.725	0.678	1.293
4	0.843	0.506	0.846	2.489	1.612	-1.286	2.852	0.219	-1.278	1.458	1.025	1.102	-0.529	-1.346	1.740	0.203	-0.292	1.472	1.457	0.279	1.821	-1.872	-0.830	0.518	1.476	2.592	-0.791	-0.410
3	1.232	-1.267	0.572	-0.557	0.352	-0.741	0.145	-0.947	0.970	0.055	1.789	0.305	-0.999	-1.589	1.421	-0.598	-0.986	1.344	-0.435	0.913	0.353	-1.915	0.640	-0.973	-1.233	-2.217	-1.155	-0.357
1	0.514	-1.073	-0.438	-1.002	0.640	1.023	0.669	0.166	0.378	-0.742	-0.444	0.006	-0.277	0.001	-1.618	0.881	-1.072	-2.108	-0.715	-0.216	2.018	-0.489	0.210	0.321	-1.515	-0.105	-0.264	0.084
4	-1.709	-1.164	-2.232	-1.414	-0.848	-0.171	0.552	-0.418	0.289	-0.165	2.072	-1.423	2.082	-0.804	0.593	-0.738	-0.648	0.119	-1.087	-0.136	0.209	-2.223	-1.240	-0.810	2.171	-0.891	0.215	1.028
3	0.773	0.381	-0.271	-0.638	0.946	0.650	-1.458	0.328	0.426	-1.397	0.661	1.687	-0.985	1.097	-2.209	-0.712	2.667	0.853	-0.207	0.084	0.392	0.272	0.149	0.894	0.789	2.017	-0.896	-0.166
